ibeId,giataId,giataName,giataCity,status,confidence,score,offerCount,sampleHotelName,sampleDestinationCity
2407973,4532,Citrus Plaza Hotel,Alanya,weak,0.45,0.3583,10,New York Plaza Hotel Apartments,Paphos
2408179,23389,Troulis Apart-Hotel,Bali,weak,0.45,0.45,1,Rayon Apart hotel,Marmaris
240992,13788,Happy Cretan Suites,Agia Pelagia,weak,0.45,0.45,1,Happy Hotel Kalkan,Kalkan
2412109,835,Iro Hotel - Adults Friendly,Chersonesos,weak,0.45,0.285,1,Hotel Alemagna B&B Lido del Sole Pet Friendly,Bibione
2412390,263546,Calimera Side Resort,Side,weak,0.45,0.57,3,Side Legend Hotel,Side
24131,2218,Santa Cruz Village Hotel,Santa Cruz (Madeira),weak,0.45,0.45,3,Hotel Santa Marta,Pozzuoli
2414108,1290741,NH Collection Dubai The Palm,Dubai,weak,0.45,0.225,1,NH Berlin Potsdamer Platz,Berlin
2414234,138354,Holiday Inn Cairo - Citystars,Kairo,weak,0.45,0.395,1,Holiday Inn Express CAMBRIDGE by IHG,"Cambridge, Cambridgeshire"
2414447,392261,Boheme Mykonos Town - Small Luxury Hotels of the World,Mykonos-Stadt,weak,0.45,0.75,1,Small Luxury Hotel of the World,Los Silos
241445,2314,Hotel Poseidon Playa,Benidorm,weak,0.45,0.3125,4,Impressive Playa Granada Golf,Motril
2414738,3117,Alua Suites Las Rocas,Cala d'Or,weak,0.45,0.2267,1,"Harrah's Las Vegas, A Caesars Destination",Las Vegas (NV)
2416455,36551,Hotel Pulitzer Paris,Paris,weak,0.45,0.4325,2,Novotel Suites Paris Stade de France,Paris
241648,3561,O7 Colombo,S'Illot,weak,0.45,0.3125,1,"Vivanta Colombo, Airport Garden",Negombo
241655,964322,Amelie Villa,Ixia,weak,0.45,0.45,2,Villa Yannis,Agios Ioannis (Corfu)
2416733,75412,Occidental Jandía Mar,Jandia,weak,0.45,0.5083,2,Occidental Atenea Mar- Adults Only,Barcelona
2416901,2496,Meliá Costa del Sol,Torremolinos,weak,0.45,0.6,1,SOL by Meliá Guadalupe,Palma de Mallorca
2417779,264216,B&B HOTEL Pisa Airport,Pisa,weak,0.45,0.3583,1,Clayton Hotel Dublin Airport,Dublin
2419166,232823,Calimera Ralitsa Superior,Albena,weak,0.45,0.3,1,AMBER HOTEL Bavaria Superior,Bad Reichenhall
2419752,10395,Cinar Family Suite Hotel,Side,weak,0.45,0.45,11,Tropicana Family Club,Monastir
2421125,4211,Agaya Bodrum - Adult Only,Bodrum,weak,0.45,0.805,5,Adult Only,Kata Beach
24295,1245733,Best Western Premier Hidden Hills Hotel,Istanbul,weak,0.45,0.415,2,Sure Hotel Collection by Best Western,Arezzo
24298,8208,Atali Grand Resort,Bali,weak,0.45,0.45,3,Grand Hotel Bastiani,Grosseto
2432433,2996,Apartamentos Celeste,Costa Teguise,weak,0.45,0.45,1,Apartamentos Deauville,Miami Platja
2433414,295798,Berry Blue Hotels,Side,weak,0.45,0.45,12,Blue Boutique Hotel,Dhermi
2434656,1317932,ON Residence,Thessaloniki,weak,0.45,0.5333,5,ON Hotels Oceanfront Adults Designed,Matalascanas
2437593,533,Blue Dolphin Hotel,Metamorfosis,weak,0.45,0.45,2,Dolphin Apart Hotel,Sarigerme
2441904,1245733,Best Western Premier Hidden Hills Hotel,Istanbul,weak,0.45,0.2775,1,"Best Western Hotel Casa Bianca, Piscine Intérieure et Extérieure",Calvi
2443443,124258,Hotel La Estación,Benidorm,weak,0.45,0.3583,11,La Maroja View Hotel,Dhermi
2445020,354428,Pinadria Camping Resort,Baška Voda,weak,0.45,0.45,2,Camping Milella,Propriano
2445526,903976,Fort Arabesque - The West Bay,Makadi Bay,weak,0.45,0.3625,2,B&B Hotel Passau-West,Passau
2449253,24221,VIVA Blue & Spa,Playa de Muro,weak,0.45,0.285,1,"Viva V Samana by Wyndham, A Trademark Adults All Inclusive",Las Terrenas
2453504,7127,Guest House Adriatic Affiliated by Meliá,Umag,weak,0.45,0.5067,5,Guest House Liliana,Rovinj
245513,124258,Hotel La Estación,Benidorm,weak,0.45,0.45,1,Hotel La Rápita,Sant Carles de la Ràpita
245547,25805,Sunny Days El Palacio Resort & Spa,Hurghada,weak,0.45,0.3917,2,Posada de Palacio,Chipiona
245557,1290741,NH Collection Dubai The Palm,Dubai,weak,0.45,0.2708,3,NH Lleida Pirineos,Lerida
245780,196106,Tenuta i Massini,Empoli,weak,0.45,0.3125,1,Tenuta del Barco WineRestaurant and Hospitality,Pulsano
245899,3753,BLUESEA Puerto Resort,Puerto de la Cruz,weak,0.45,0.3583,2,Hotel El Puerto by Pierre Vacances,Fuengirola
245931,21406,Best Lloret Splash,Lloret de Mar,weak,0.45,0.3467,1,Hotel Lloret Santa Rosa by Pierre & Vacances,Lloret de Mar
245979,5113,Mediterranean Beach Hotel,Agios Tychonas,weak,0.45,0.625,1,H10 Mediterranean Village,Salou
245981,3306,Blau Colonia Sant Jordi,Colònia de Sant Jordi,weak,0.45,0.45,8,Aparthotel Comtat Sant Jordi,Platja D'Aro
245989,77597,B&B HOTEL Bologna,Castel Maggiore,weak,0.45,0.5333,2,NH Bologna Villanova,Bologna
246077,42148,INNSiDE Valencia Oceanic,Valencia,weak,0.45,0.5117,12,Flag Hotel Valencia,Valencia
246155,38244,Gran Oasis Resort,Playa de las Américas,weak,0.45,0.3583,6,Sercotel Gran Fama,Almeria
246218,1245733,Best Western Premier Hidden Hills Hotel,Istanbul,weak,0.45,0.5067,1,Best Western Plus Hotel Dresden City,Dresden
246222,60213,A Good Life Utopia Family Resort,Okurcalar,weak,0.45,0.2708,1,Good Morning+ Leipzig,Leipzig
246225,1290741,NH Collection Dubai The Palm,Dubai,weak,0.45,0.2708,1,NH Leipzig Messe,Leipzig
2462494,1424709,Apartamentos Turísticos Best Indalo,Mojacar,weak,0.45,0.45,1,Apartamentos Turísticos Vitoria by Petit Hotels,Funchal
246269,2104,Colina Village,Carvoeiro,weak,0.45,0.5333,2,Colina do Mar,Albufeira
2462701,354428,Pinadria Camping Resort,Baška Voda,weak,0.45,0.3583,1,Camping Dal Pino,Marina di Massa
246349,37,Mövenpick Resort & Spa El Gouna,El Gouna,weak,0.45,0.45,1,Movenpick Gammarth,Carthage
246360,593440,Relais Masseria Le Cesine,Vernole,weak,0.45,0.3,2,Hotel Valkarana Country Relais,Arzachena
246384,428845,Pickalbatos Hôtel Du Golf Palmeraie,Marrakesch,weak,0.45,0.2708,1,Hostellerie du Cigalou,Le Lavandou
246501,3364,Son Molí Country House,Es Pillarí,weak,0.45,0.3625,1,Hotel Aldiola Country Resort,Arzachena
246510,964322,Amelie Villa,Ixia,weak,0.45,0.45,2,Hotel Villa de Laredo,Fuengirola
246579,2872,Hotel Torre del Mar,Playa d'en Bossa,weak,0.45,0.45,7,Hotel Spa Pinar del Mar,Platja D'Aro
246581,964322,Amelie Villa,Ixia,weak,0.45,0.45,4,Villa Giusto,Ischia
246742,23758,Água Hotels Vila Branca,Lagos,weak,0.45,0.3,4,RVHotels Vila de Tossa,Tossa de Mar
2467669,69136,Lago Hotel,Manavgat,weak,0.45,0.625,3,Hotel Lago Verde,Montecatini Terme
246961,56518,Garden Playanatural Hotel & Spa,El Rompido,weak,0.45,0.3125,2,Azoris Angra Garden – Plaza Hotel,Angra do Heroismo
247065,2892,Aparthotel Vibra Bay,San Antonio de Portmany,weak,0.45,0.3,6,Aparthotel Ona Palamós,Platja D'Aro
24708,1281528,Concorde Tower Hotel,Gönyeli,weak,0.45,0.45,1,Montresor Hotel Tower,Castelnuovo del Garda
2470874,2314,Hotel Poseidon Playa,Benidorm,weak,0.45,0.3583,2,Tukan Hotel Playa del Carmen,Playa del Carmen
247124,1422252,B&B HOTEL Catania City Center,Catania,weak,0.45,0.57,3,Hotel Catania Town,Catania
247174,2218,Santa Cruz Village Hotel,Santa Cruz (Madeira),weak,0.45,0.3583,4,Santa Maria Resort Spa & Wellness,"Ostsardinien – Smaragdküste, Italien"
2473098,964322,Amelie Villa,Ixia,weak,0.45,0.45,1,Villa Celentano,Sorrento
2474183,124258,Hotel La Estación,Benidorm,weak,0.45,0.3125,8,Centro Vacanze La Limonaia,Limone sul Garda
2475919,295798,Berry Blue Hotels,Side,weak,0.45,0.45,1,Ornos Blue,"Mykonos, Griechenland"
2477444,1252,Porto Angeli,Stegna,weak,0.45,0.45,1,Hotel Porto Badisco,Otranto
247761,28253,International Hotel Casino & Tower Suites,Goldstrand,weak,0.45,0.3917,4,Casino Hôtel des Palmiers,Hyeres
2478390,964322,Amelie Villa,Ixia,weak,0.45,0.45,3,Villa Kabalero,Čilipi
2478977,124258,Hotel La Estación,Benidorm,weak,0.45,0.45,2,Hotel La Corte,Desenzano del Garda
2479601,63242,Hotel Cala Bona,Cala Bona,weak,0.45,0.3583,1,Cala da Lua apartments,"Sal Rei, Insel von Boa Vista"
2481191,4352,Beks Premium Resort & Spa,Kusadasi,weak,0.45,0.45,4,Premium Strato Hotel,Doha
248316,295798,Berry Blue Hotels,Side,weak,0.45,0.45,1,Blue Waves Resort,"Kvarner Bucht, Kroatien"
248318,17534,Miramare Sea Resort & Spa,Sant'Angelo,weak,0.45,0.45,3,Sea Art Hotel,Savona
248549,1015085,ME Dubai,Dubai,weak,0.45,0.4325,2,ibis Mall Avenue Dubai,Dubai
248571,1290741,NH Collection Dubai The Palm,Dubai,weak,0.45,0.3625,2,NH Ingolstadt,Ingolstadt
248850,1245733,Best Western Premier Hidden Hills Hotel,Istanbul,weak,0.45,0.36,2,Sure Hotel by Best Western Stockholm Alvsjo,Stockholm
2491538,1245733,Best Western Premier Hidden Hills Hotel,Istanbul,weak,0.45,0.54,4,Best Western Premier CMC Girona,Girona
2502698,3082,allsun Hotel Eden Alcúdia,Playa de Muro,weak,0.45,0.3,2,Parque Vacacional Eden,Puerto de la Cruz
2504551,28253,International Hotel Casino & Tower Suites,Goldstrand,weak,0.45,0.2542,1,"Rio Hotel & Casino, a Destination by Hyatt Hotel",Las Vegas (NV)
2504961,2363,Meliá Granada,Granada,weak,0.45,0.4783,1,YIT Conquista de Granada,Granada
2506880,141096,B&B HOTEL Madrid Aeropuerto T4,San Sebastián de los Reyes,weak,0.45,0.3742,2,B&B HOTELS Donostia San Sebastián Aeropuerto,San Sebastián
2508982,2314,Hotel Poseidon Playa,Benidorm,weak,0.45,0.3125,1,"Hotel Pocillos Playa, solo Adultos",Puerto del Carmen
2508998,63242,Hotel Cala Bona,Cala Bona,weak,0.45,0.45,13,Hotel Club Cala Romani,Manacor
2509044,9131,Parador Sky Hotel,Alanya,weak,0.45,0.45,1,Parador de Jávea,Javea
25098,124616,Il Telamonio,Talamone,weak,0.45,0.45,1,Il Sogno Apartments,Sirmione
2509908,105772,Domaine de Locguénolé & Spa - Relais & Chateaux,Kervignac,weak,0.45,0.805,1,Relais & Châteaux,Mailand
2510622,741438,B&B HOTEL Alba,Alba,weak,0.45,0.625,3,Hotel Alba Roma,Rom
2511,52059,BLUESEA Torremolinos Centro,Torremolinos,weak,0.45,0.3,3,B&B HOTEL Tarragona Centro Urbis,Tarragona
251431,124258,Hotel La Estación,Benidorm,weak,0.45,0.3125,1,Sunscape Dominicus La Romana,Bayahibe
2515075,301804,DAIA Slow Beach Hotel Conil,Conil de la Frontera,weak,0.45,0.42,1,Ilunion Calas de Conil,Conil de la Frontera
2519089,1449005,SY Hotels Belek Boutique Luxury,Kadriye,weak,0.45,0.5417,1,Bougainville Luxury Boutique Hotel,Capri
2519756,8208,Atali Grand Resort,Bali,weak,0.45,0.3583,1,Grand Hotel Tamerici & Principe,Montecatini Terme
2519973,49819,B&B HOTEL Milano Aosta,Mailand,weak,0.45,0.57,1,Hotel Tiffany Milano,Mailand
252019,406104,Amilla Maldives,Finolhas,weak,0.45,0.3583,2,Niva Velassaru Maldives,"Malediven, Indischer Ozean"
2521013,300709,Ramada Resort by Wyndham Lara,Lara,weak,0.45,0.4533,1,Ramada by Wyndham Amsterdam Airport Schiphol,Amsterdam
2521047,264216,B&B HOTEL Pisa Airport,Pisa,weak,0.45,0.3125,1,NH Amsterdam Schiphol Airport,Amsterdam
2521049,4532,Citrus Plaza Hotel,Alanya,weak,0.45,0.3583,1,Park Plaza Amsterdam Airport,Amsterdam
2521442,3582,BLUESEA Marina Parc,Arenal d'en Castell,weak,0.45,0.2267,2,Kyriad Le Bourget Centre- Parc Des Expositions,Saint-Denis (Ile-de-France)
252292,161187,B&B HOTEL Diano Marina Palace,Diano Marina,weak,0.45,0.45,1,Résidence Marina Bianca,Linguizzetta
252401,597470,Blue Island Villa Caterina,Casteldaccia,weak,0.45,0.5417,11,Villa Park Sun Island,Nalaguraidhoo
252444,1272426,Aeifos Boutique Hotel,Imerovigli,weak,0.45,0.3583,1,May Altafulla Beach Boutique Hotel,Altafulla
252462,3248,Alua Gran Camp de Mar,Camp de Mar,weak,0.45,0.5417,15,Bahia Suites Camp de Mar,Paguera
252791,743,Blue Lagoon Ocean,Agios Fokas,weak,0.45,0.7833,1,Blue Ocean Resort,Phan Thiet
252984,13828,Time Beach Hotel,Alanya,weak,0.45,0.4875,3,EASY TIME VILLA by MARALEINA,Lamai Beach - Koh Samui
253013,2314,Hotel Poseidon Playa,Benidorm,weak,0.45,0.3583,1,Hotel Colonial Playa del Carmen,Playa del Carmen
253020,1270450,Lyttos Mare - Premium All Inclusive,Anissaras,weak,0.45,0.805,6,Premium All inclusive,Raa Atoll
2532865,1163008,Gitavillage Il Gabbiano,Albinia,weak,0.45,0.7833,1,Hotel Il Gabbiano,Procida
253325,23389,Troulis Apart-Hotel,Bali,weak,0.45,0.3583,9,Maison 48 Apart Hotel,Bodrum
2533429,203420,Alimounda Mare,Pigadia,weak,0.45,0.45,2,Gerona Mare Apartments,Platanias (Crete)
253397,597470,Blue Island Villa Caterina,Casteldaccia,weak,0.45,0.45,6,Villa Nautica Paradise Island,North Male Atoll
2534666,2996,Apartamentos Celeste,Costa Teguise,weak,0.45,0.45,2,Apartamentos Posidonia,Na Macaret
25351,52059,BLUESEA Torremolinos Centro,Torremolinos,weak,0.45,0.3,6,Hotel Centro Turistico Gardesano,Castelnuovo del Garda
2535589,1272426,Aeifos Boutique Hotel,Imerovigli,weak,0.45,0.3583,1,Lanta For Rest Boutique,Koh Lanta
253658,265590,Plaza Regency Hotel,Sliema,weak,0.45,0.45,2,Henann Regency Resort & Spa,Boracay
253729,102612,Stella Beach Resort & Spa,Makadi Bay,weak,0.45,0.625,2,Maria Stella,L'île Rousse
2537807,7127,Guest House Adriatic Affiliated by Meliá,Umag,weak,0.45,0.2533,3,Friars Wynd Guest Rooms,Stirling
253829,264216,B&B HOTEL Pisa Airport,Pisa,weak,0.45,0.3583,3,Hotel Sogni D'Oro Airport,Lamezia Terme
254076,10591,ALEGRIA Colonial Mar Aquafun,Roquetas de Mar,weak,0.45,0.3625,1,Hotel Colonial Cancun,Cancun
254203,246715,Dreams Vacation Resort,Sharm el Sheikh,weak,0.45,0.3583,2,Hono Koa Vacation Club,Lahaina
2545670,295798,Berry Blue Hotels,Side,weak,0.45,0.45,3,Blue Paradise Hotel,Orikum
254812,1270450,Lyttos Mare - Premium All Inclusive,Anissaras,weak,0.45,0.805,3,Premium All Inclusive,North Male Atoll
